,0,Kategorie
1,realDonaldTrump,1
2,WhiteHouse,2
3,TeamTrump,2
4,GOPChairwoman,1
5,DanScavino,5
6,Jim_Jordan,1
7,GOP,2
8,Scavino45,3
9,DonaldJTrumpJr,6
10,IvankaTrump,6
11,GreggJarrett,4
12,EricTrump,6
13,TomFitton,5
14,paulsperry_,3
15,RepMarkMeadows,1
16,marklevinshow,5
17,TrumpWarRoom,2
18,LindseyGrahamSC,1
19,charliekirk11,5
20,dbongino,5
21,SenateGOP,1
22,GOPLeader,1
23,JudicialWatch,2
24,senatemajldr,1
25,foxandfriends,4
26,seanhannity,4
27,VP,3
28,SteveScalise,1
29,MZHemingway,4
30,FLOTUS,3
31,LouDobbs,4
32,DailyCaller,4
33,BuckSexton,5
34,RepAndyBiggsAZ,1
35,RepLeeZeldin,1
36,KimStrassel,4
37,Mike_Pence,5
38,MariaBartiromo,4
39,PressSec,3
40,SaraCarterDC,4
41,RepDougCollins,1
42,RepMattGaetz,1
43,NHC_Atlantic,2
44,JohnWHuber,3
45,MarshaBlackburn,1
46,AndrewCMcCarthy,4
47,RandPaul,1
48,IngrahamAngle,4
50,mike_pence,5
51,jsolomonReports,4
52,CLewandowski_,3
53,parscale,5
54,GOPoversight,2
55,ByronYork,4
57,GeraldoRivera,5
58,DevinNunes,5
60,SenTomCotton,1
61,dcexaminer,4
62,thebradfordfile,5
63,RNCResearch,2
64,DRUDGE_REPORT,5
65,seanmdav,5
66,JackPosobiec,5
67,CDCgov,3
68,marcorubio,
69,Lrihendry,3
70,SenTedCruz,1
71,thehill,4
72,PollWatch2020,5
73,OANN,4
74,DavidJHarrisJr,5
75,JennaEllisEsq,3
76,NRA,2
77,Varneyco,4
78,kayleighmcenany,3
79,RudyGiuliani,3
80,hughhewitt,4
81,JesseBWatters,4
82,HouseGOP,2
83,RealJamesWoods,5
84,fema,2
85,KatrinaPierson,3
86,SenJohnBarrasso,1
87,ericbolling,4
88,HawleyMO,1
89,thejtlewis,1
90,TimMurtaugh,3
91,RichardGrenell,3
92,tedcruz,5
93,bennyjohnson,4
94,TheRightMelissa,5
95,KellyannePolls,3
96,SenRonJohnson,1
97,SenThomTillis,1
98,EliseStefanik,1
99,brithume,4
100,ChuckGrassley,1
